ALDER;CIVILSTAND;TID;INDHOLD
50 år;Gift/separeret;2020K3;43354
51 år;Ugift;2020K3;16519
51 år;Gift/separeret;2020K3;43830
52 år;Ugift;2020K3;16816
52 år;Gift/separeret;2020K3;46437
53 år;Ugift;2020K3;17891
53 år;Gift/separeret;2020K3;50200
54 år;Ugift;2020K3;17317
54 år;Gift/separeret;2020K3;50579
55 år;Ugift;2020K3;16267
55 år;Gift/separeret;2020K3;49381
56 år;Ugift;2020K3;15723
56 år;Gift/separeret;2020K3;48503
57 år;Ugift;2020K3;14427
57 år;Gift/separeret;2020K3;46287
58 år;Ugift;2020K3;13504
58 år;Gift/separeret;2020K3;45379
59 år;Ugift;2020K3;12520
59 år;Gift/separeret;2020K3;44239
60 år;Ugift;2020K3;11751
60 år;Gift/separeret;2020K3;43676
61 år;Ugift;2020K3;10983
61 år;Gift/separeret;2020K3;42848
62 år;Ugift;2020K3;10695
62 år;Gift/separeret;2020K3;43448
63 år;Ugift;2020K3;10066
63 år;Gift/separeret;2020K3;43091
64 år;Ugift;2020K3;9258
64 år;Gift/separeret;2020K3;42626
65 år;Ugift;2020K3;8613
65 år;Gift/separeret;2020K3;41748
66 år;Ugift;2020K3;8013
66 år;Gift/separeret;2020K3;41256
67 år;Ugift;2020K3;7323
67 år;Gift/separeret;2020K3;41847
68 år;Ugift;2020K3;6557
68 år;Gift/separeret;2020K3;39519
69 år;Ugift;2020K3;5782
69 år;Gift/separeret;2020K3;39923
70 år;Ugift;2020K3;5342
70 år;Gift/separeret;2020K3;40211
71 år;Ugift;2020K3;4787
71 år;Gift/separeret;2020K3;40334
72 år;Ugift;2020K3;4452
72 år;Gift/separeret;2020K3;41382
73 år;Ugift;2020K3;4214
73 år;Gift/separeret;2020K3;43032
74 år;Ugift;2020K3;3812
74 år;Gift/separeret;2020K3;41821
75 år;Ugift;2020K3;3218
75 år;Gift/separeret;2020K3;37834
76 år;Ugift;2020K3;2765
76 år;Gift/separeret;2020K3;33398
77 år;Ugift;2020K3;2302
77 år;Gift/separeret;2020K3;29320
78 år;Ugift;2020K3;1874
78 år;Gift/separeret;2020K3;25026
79 år;Ugift;2020K3;1658
79 år;Gift/separeret;2020K3;21144
80 år;Ugift;2020K3;1456
80 år;Gift/separeret;2020K3;19247
81 år;Ugift;2020K3;1403
81 år;Gift/separeret;2020K3;16701
82 år;Ugift;2020K3;1174
82 år;Gift/separeret;2020K3;14663
83 år;Ugift;2020K3;1083
83 år;Gift/separeret;2020K3;12386
84 år;Ugift;2020K3;928
84 år;Gift/separeret;2020K3;10034
85 år;Ugift;2020K3;786
85 år;Gift/separeret;2020K3;8063
86 år;Ugift;2020K3;676
86 år;Gift/separeret;2020K3;6580
87 år;Ugift;2020K3;640
87 år;Gift/separeret;2020K3;5031
88 år;Ugift;2020K3;541
88 år;Gift/separeret;2020K3;4017
89 år;Ugift;2020K3;455
89 år;Gift/separeret;2020K3;3009
90 år;Ugift;2020K3;373
90 år;Gift/separeret;2020K3;2211
91 år;Ugift;2020K3;343
91 år;Gift/separeret;2020K3;1716
92 år;Ugift;2020K3;267
92 år;Gift/separeret;2020K3;1150
93 år;Ugift;2020K3;215
93 år;Gift/separeret;2020K3;827
94 år;Ugift;2020K3;164
94 år;Gift/separeret;2020K3;586
95 år;Ugift;2020K3;142
95 år;Gift/separeret;2020K3;337
96 år;Ugift;2020K3;101
96 år;Gift/separeret;2020K3;182
97 år;Ugift;2020K3;66
97 år;Gift/separeret;2020K3;119
98 år;Ugift;2020K3;50
98 år;Gift/separeret;2020K3;58
99 år;Ugift;2020K3;47
99 år;Gift/separeret;2020K3;41
100 år;Ugift;2020K3;20
100 år;Gift/separeret;2020K3;15
101 år;Ugift;2020K3;9
101 år;Gift/separeret;2020K3;15
102 år;Ugift;2020K3;10
102 år;Gift/separeret;2020K3;4
103 år;Ugift;2020K3;1
103 år;Gift/separeret;2020K3;3
104 år;Ugift;2020K3;2
104 år;Gift/separeret;2020K3;0
105 år;Ugift;2020K3;2
105 år;Gift/separeret;2020K3;0
106 år;Ugift;2020K3;1
106 år;Gift/separeret;2020K3;0
107 år;Ugift;2020K3;0
107 år;Gift/separeret;2020K3;0
108 år;Ugift;2020K3;1
108 år;Gift/separeret;2020K3;0
109 år;Ugift;2020K3;0
109 år;Gift/separeret;2020K3;0
110 år;Ugift;2020K3;0
110 år;Gift/separeret;2020K3;0
111 år;Ugift;2020K3;0
111 år;Gift/separeret;2020K3;0
112 år;Ugift;2020K3;0
112 år;Gift/separeret;2020K3;0
113 år;Ugift;2020K3;0
113 år;Gift/separeret;2020K3;0
114 år;Ugift;2020K3;0
114 år;Gift/separeret;2020K3;0
115 år;Ugift;2020K3;0
115 år;Gift/separeret;2020K3;0
116 år;Ugift;2020K3;0
116 år;Gift/separeret;2020K3;0
117 år;Ugift;2020K3;0
117 år;Gift/separeret;2020K3;0
118 år;Ugift;2020K3;0
118 år;Gift/separeret;2020K3;0
119 år;Ugift;2020K3;0
119 år;Gift/separeret;2020K3;0
120 år;Ugift;2020K3;0
120 år;Gift/separeret;2020K3;0
121 år;Ugift;2020K3;0
121 år;Gift/separeret;2020K3;0
122 år;Ugift;2020K3;0
122 år;Gift/separeret;2020K3;0
123 år;Ugift;2020K3;0
123 år;Gift/separeret;2020K3;0
124 år;Ugift;2020K3;0
124 år;Gift/separeret;2020K3;0
125 år;Ugift;2020K3;0
125 år;Gift/separeret;2020K3;0
